FILEID,STUSAB,Region,Division,CHARITER,CIFSN,LOGRECNO,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
PLST,AL,South,East_South_Central,0,1,1,5024279,4767326,3220452,1296162,33625,76660,2984,137443,256953,243473,45429,79559,18510,1449,80617,6301,2049,492,5421,266,77,1941,567,562,233,12093,4493,972,172,1441,912,138,2194,681,429,78,124,13,146,145,86,27,12,6,7,17,1191,304,64,516,80,47,4,35,48,7,25,31,7,4,15,4,187,89,78,13,0,5,2,9,9,5024279,264047,4760232,4575614,3171351,1288159,23119,75918,2612,14455,184618,175750,43911,77291,17974,1366,22551,6012,1939,456,2983,201,46,164,520,303,33,8085,3986,899,165,573,821,138,295,643,122,33,115,13,72,129,43,20,10,4,0,4,673,232,45,200,66,27,3,32,25,0,3,21,0,2,13,4,108,51,44,9,0,2,2,2,2
PLST,AK,West,Pacific,0,1,1,733391,643867,435392,21898,111575,44032,12698,18272,89524,81221,5987,38129,9815,1599,17735,2039,547,319,948,1215,607,622,1349,255,55,7371,1988,402,121,361,1795,344,878,837,204,31,80,31,41,58,21,15,90,28,15,31,822,206,47,160,47,17,13,217,49,7,36,4,3,0,5,11,97,44,29,4,4,14,2,13,13,733391,49824,683567,611806,421758,20731,108838,43449,12455,4575,71761,65654,5318,36039,9310,1440,7296,1916,490,289,283,1127,558,245,1229,113,1,5518,1728,348,108,115,1627,314,181,762,41,7,61,31,21,53,4,4,85,5,8,15,505,167,24,37,40,6,7,177,17,1,15,1,2,0,0,11,78,36,20,4,4,12,2,6,6
PLST,AZ,West,Mountain,0,1,1,7151502,6154696,4322337,339150,319512,257430,16397,899870,996806,948897,60610,84795,62979,7025,687131,7977,4322,864,11926,1492,570,10400,4226,3696,884,43514,7360,3178,518,5839,2296,428,13994,3924,3882,457,254,87,479,218,190,49,117,111,36,97,3885,732,115,1450,225,246,35,299,410,50,217,35,27,13,13,18,440,174,215,12,7,28,4,70,70,7151502,2192253,4959249,4692409,3816547,317161,263930,248837,14323,31611,266840,249130,51895,67557,56082,6096,47116,6515,3738,726,2875,995,476,384,3690,878,107,16207,5410,2611,429,1044,1577,309,414,3328,344,45,200,55,98,158,63,16,77,3,2,24,1319,484,74,222,170,71,10,187,13,5,29,24,13,5,12,0,175,97,62,8,4,0,4,9,9
PLST,AR,South,West_South_Central,0,1,1,3011524,2797949,2114512,453783,27177,51839,14533,136105,213575,203299,28910,76042,11859,1281,75317,3149,865,214,2817,199,101,1347,502,522,174,9447,3600,466,101,1050,831,104,2079,441,358,73,63,9,134,81,22,2,8,11,0,14,699,183,33,299,14,19,0,51,47,14,13,7,7,4,8,0,118,60,38,2,15,2,1,12,12,3011524,256847,2754677,2607520,2063550,449884,20549,51210,14280,8047,147157,140548,27850,73015,11362,1192,20613,2981,798,197,1438,174,81,115,469,208,55,6135,3269,419,89,472,771,91,276,402,116,15,40,9,75,60,10,2,7,4,0,8,409,151,22,120,12,7,0,43,14,8,6,7,7,4,8,0,64,35,21,2,4,2,0,1,1
PLST,CA,West,Pacific,0,1,1,39538223,33777988,16296122,2237044,631016,6085947,157263,8370596,5760235,5380042,257897,384596,624936,45390,3626370,37342,51784,8765,88929,13189,2563,113787,51357,61163,11974,341027,41343,24099,3338,32938,22082,3308,119441,31003,42261,4250,2582,555,3381,2638,2603,606,960,1465,316,1858,34609,6504,981,11879,1951,2736,336,2531,4290,421,2082,260,282,77,170,109,4107,1345,2002,236,208,284,32,450,450,39538223,15579652,23958571,22330849,13714587,2119286,156085,5978795,138167,223929,1627722,1500424,220162,270349,563222,37904,223468,29533,46247,7531,28389,7321,1376,1867,45831,13281,3943,114216,29152,19646,2618,7243,13731,2114,2090,25764,3812,422,1806,415,985,2103,955,256,457,90,23,534,11705,4292,632,1946,1453,820,86,1535,206,31,329,161,102,35,62,15,1247,683,406,65,71,21,1,130,130
PLST,CO,West,Mountain,0,1,1,5773714,5066044,4082927,234828,74129,199827,10287,464046,707670,665645,48200,91231,63039,4943,426665,5076,3636,611,7619,851,218,8397,2431,2183,545,38117,6940,2747,337,4070,2331,325,14157,3105,2553,331,265,63,348,170,129,25,68,72,14,67,3437,688,136,1346,188,241,34,282,300,39,131,20,7,13,2,10,423,195,152,30,10,31,5,48,48,5773714,1263390,4510324,4249526,3760663,221310,33768,195220,9005,29560,260798,244979,42311,71858,58609,4356,54422,3850,3264,506,2000,476,134,291,2155,674,73,14448,5013,2346,244,814,1608,227,457,2734,361,58,202,44,71,141,52,8,33,8,0,27,1197,412,95,181,150,62,20,187,21,7,37,10,3,5,2,5,156,116,24,12,3,1,0,18,18
PLST,CT,Northeast,New_England,0,1,1,3605944,3273040,2395128,388675,16051,172455,1598,299133,332904,313228,36315,25191,24100,853,191978,4947,2021,469,20121,356,87,3197,639,1839,1115,16883,4629,1111,75,5315,449,36,2516,462,975,119,152,20,641,35,177,49,8,36,21,57,2583,310,62,1879,45,130,18,39,54,5,19,10,5,0,6,1,185,76,87,8,2,11,1,25,25,3605944,623293,2982651,2845082,2279232,360937,6404,170459,974,27076,137569,129834,30832,22929,23135,778,38125,4054,1798,410,5592,308,40,187,586,921,139,7090,3160,927,63,1264,370,25,154,425,249,9,122,14,105,27,123,20,7,15,0,11,558,205,33,195,33,44,8,19,2,3,5,8,0,0,2,1,76,47,25,1,2,0,1,11,11
PLST,DE,South,South_Atlantic,0,1,1,989948,913430,597763,218899,5148,42699,412,48509,76518,71461,14610,9586,5480,310,32669,2662,911,147,3811,107,12,613,132,310,101,4488,1842,434,25,841,177,31,546,160,157,27,74,29,88,26,10,2,4,4,0,11,522,123,8,272,18,24,16,10,9,0,13,4,4,0,17,4,42,11,19,0,12,0,0,5,5,989948,104290,885658,842635,579851,212960,2521,42398,304,4601,43023,40061,13511,8993,5319,289,6708,2453,870,141,1338,92,1,45,131,160,10,2742,1569,367,19,210,150,28,59,151,40,12,63,27,14,14,8,0,0,1,0,10,194,89,8,41,6,17,5,9,0,0,0,0,0,0,16,3,21,8,6,0,7,0,0,5,5
PLST,DC,South,South_Atlantic,0,1,1,689545,633468,273194,285810,3193,33545,432,37294,56077,51147,7543,2212,8646,247,23425,2334,1340,112,3856,70,20,767,190,300,85,4262,1379,394,23,792,88,3,781,153,273,15,63,39,127,32,49,27,2,0,4,18,613,129,8,354,14,51,1,1,21,3,16,9,3,0,3,0,51,20,18,0,4,4,5,4,4,689545,77652,611893,582408,261771,282066,1277,33192,349,3753,29485,26897,7099,1697,8414,196,3702,2189,1284,108,1751,62,18,41,168,165,3,2335,1115,350,20,329,70,1,30,134,61,4,54,34,49,32,32,15,2,0,0,3,230,102,5,68,11,34,1,1,0,0,3,4,1,0,0,0,23,13,1,0,4,4,1,0,0
PLST,FL,South,South_Atlantic,0,1,1,21538187,17986115,12422961,3246381,94795,643682,14014,1564282,3552072,3428042,200545,192576,122838,7435,2694902,19086,20991,4320,127918,1859,393,14987,4389,11730,4073,106458,19129,9588,862,32695,4204,537,18348,3696,9942,854,541,132,2680,826,1589,322,93,177,35,208,16177,1800,244,10372,344,1751,137,296,547,63,271,81,118,14,116,23,1263,353,719,90,40,25,36,132,132,21538187,5697240,15840947,15048804,11100503,3127052,42169,629626,11521,137933,792143,748754,174146,174875,113998,6677,196605,16122,19349,4015,29360,1487,229,850,3929,6152,960,39297,12773,8185,718,4855,3442,454,924,3284,1625,165,439,94,342,657,951,171,67,42,2,107,3582,1287,154,727,276,527,51,209,52,16,72,59,42,12,85,13,472,227,182,17,16,5,25,38,38
