Pop1,Pop2,result
4779736,5024279,0
710231,733391,0
6392017,7151502,0
2915918,3011524,1
37253956,39538223,1
5029196,5773714,0
3574097,3605944,1
897934,989948,1
601723,689545,1
18801310,21538187,1
9687653,10711908,0
1360301,1455271,0
1567582,1839106,1
12830632,12812508,0
6483802,6785528,1
3046355,3190369,1
2853118,2937880,1
4339367,4505836,0
4533372,4657757,0
1328361,1362359,0
5773552,6177224,1
6547629,7029917,1
9883640,10077331,0
5303925,5706494,1
2967297,2961279,0
5988927,6154913,0
989415,1084225,0
1826341,1961504,1
2700551,3104614,0
1316470,1377529,0
8791894,9288994,1
2059179,2117522,0
19378102,20201249,1
9535483,10439388,0
672591,779094,0
11536504,11799448,0
3751351,3959353,1
3831074,4237256,1
12702379,13002700,1
3725789,3285874,1
1052567,1097379,1
4625364,5118425,1
814180,886667,1
6346105,6910840,0
25145561,29145505,0
2763885,3271616,0
625741,643077,1
8001024,8631393,0
6724540,7705281,1
1852994,1793716,1
5686986,5893718,1
563626,576851,0
