Label,total,    Population of one race:,Whitealone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some other race alone,    Population of two or more races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some other race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some other race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some other race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some other race,            Native Hawaiian and Other Pacific Islander; Some other race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some other race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some other race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some other race,            White; Native Hawaiian and Other Pacific Islander; Some other race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some other race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some other race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some other race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,            Asian; Native Hawaiian and Other Pacific Islander; Some other race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some other race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some other race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some other race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some other race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some other race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
Alabama,4447100,4402921,3162808,1155930,22430,31346,1409,28998,44179,41684,6356,17566,4772,415,5930,2326,1119,292,1234,247,23,392,310,629,73,2178,802,94,20,285,130,19,198,165,103,35,32,8,38,114,68,19,16,7,2,23,203,49,3,29,18,1,1,18,2,0,26,9,1,0,44,2,91,53,9,1,14,8,6,23,23
Alaska,626932,592786,434534,21787,98043,25116,3309,9997,34146,31743,2460,16920,4103,647,3113,1064,310,92,393,811,208,503,582,450,87,2175,575,111,17,95,493,84,236,266,106,23,49,6,20,14,18,3,29,14,0,16,199,48,2,24,10,8,1,53,15,3,23,12,0,0,0,0,28,26,1,0,0,1,0,1,1
Arizona,5130632,4984106,3873611,158873,255879,92236,6733,596774,146526,138655,13732,23009,15624,2044,62927,2889,1346,200,4537,809,249,5430,1556,3537,766,7254,1937,397,48,810,472,90,967,966,785,154,82,10,136,63,91,21,43,57,20,105,484,129,9,86,29,22,3,70,25,5,72,11,3,2,15,3,128,94,5,9,3,15,2,5,5
Arkansas,2673400,2637656,2138598,418950,17808,20220,1668,40412,35744,33818,4773,16439,3061,351,5608,1088,406,89,600,146,59,262,275,484,177,1644,577,48,15,219,125,14,205,157,80,21,24,3,21,53,34,23,6,7,0,12,159,47,4,14,13,3,0,14,8,1,17,7,1,0,30,0,113,95,3,0,1,13,1,10,10
California,33871648,32264002,20170059,2263882,333346,3697513,116961,5682241,1607646,1513166,101705,175273,247396,26920,684475,25204,25203,4257,47923,14560,1837,29004,36050,82728,10631,85600,19388,5365,781,6677,7205,1345,8560,12889,12447,1973,1432,246,1310,988,1647,340,667,810,153,1377,7317,2758,247,1016,447,363,68,914,421,95,650,112,96,17,76,37,1436,1073,183,29,54,70,27,127,127
Colorado,4301261,4179074,3560005,165063,44241,95213,4621,309931,122187,114612,13426,24795,16234,1735,42383,2486,1518,291,3876,637,107,2946,1234,2534,410,6946,2003,508,55,645,514,120,985,974,563,93,93,17,106,40,78,15,44,38,19,36,464,154,19,76,27,25,11,78,26,1,19,17,3,1,1,6,160,146,3,0,8,2,1,5,5
Connecticut,3405565,3330717,2780355,309843,9639,82313,1366,147201,74848,70473,11725,7652,7343,538,24391,3439,945,665,9008,365,41,668,465,2738,490,4015,1765,191,32,802,153,19,224,152,232,66,55,15,129,27,87,33,5,14,3,11,292,109,12,65,10,20,8,22,7,1,13,16,5,2,2,0,66,54,6,0,5,0,1,2,2
Delaware,783600,770567,584773,150666,2731,16259,283,15855,13033,12131,3145,1605,1645,78,2372,890,338,82,1282,72,5,176,75,325,41,817,387,47,2,153,23,3,49,34,29,5,8,5,38,10,14,5,0,1,3,1,61,21,1,20,0,4,0,1,0,0,4,4,1,1,4,0,16,16,0,0,0,0,0,8,8
District of Columbia,572059,558613,176101,343312,1713,15189,348,21950,13446,12179,1679,603,1319,75,3413,1389,554,108,2312,48,4,133,98,401,43,1146,645,59,10,139,25,1,39,29,50,5,27,3,44,14,34,15,0,4,1,2,109,61,2,15,5,11,1,3,1,0,6,0,2,0,2,0,10,8,2,0,0,0,0,2,2
Florida,15982378,15606063,12465029,2335505,53541,266256,8625,477107,376315,359000,38429,43940,37068,3389,131473,7182,8427,4852,65492,1577,222,3733,2234,9531,1451,15729,3718,1576,166,3080,776,114,1111,1064,1603,321,239,46,289,349,777,220,55,96,44,85,1209,421,25,208,71,112,43,84,38,6,59,34,15,3,85,5,361,290,31,1,19,11,9,16,16
