FILEID,STUSAB,Region,Division,CHARITER,CIFSN,LOGRECNO,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
uPL,AL,South,East_South_Central,0,1,1,4447100,4402921,3162808,1155930,22430,31346,1409,28998,44179,41684,6356,17566,4772,415,5930,2326,1119,292,1234,247,23,392,310,629,73,2178,802,94,20,285,130,19,198,165,103,35,32,8,38,114,68,19,16,7,2,23,203,49,3,29,18,1,1,18,2,0,26,9,1,0,44,2,91,53,9,1,14,8,6,23,23,4447100,75830,4371270,4332184,3125819,1150076,21618,30989,1059,2623,39086,36889,6194,17153,4611,393,3049,2276,1005,261,792,212,10,143,298,478,14,1936,780,89,19,253,122,16,151,156,69,18,28,7,28,91,55,17,13,2,2,20,166,46,1,26,16,0,0,12,2,0,22,7,1,0,31,2,73,44,8,0,14,5,2,22,22
uPL,AK,West,Pacific,0,1,1,626932,592786,434534,21787,98043,25116,3309,9997,34146,31743,2460,16920,4103,647,3113,1064,310,92,393,811,208,503,582,450,87,2175,575,111,17,95,493,84,236,266,106,23,49,6,20,14,18,3,29,14,0,16,199,48,2,24,10,8,1,53,15,3,23,12,0,0,0,0,28,26,1,0,0,1,0,1,1,626932,25852,601080,570626,423788,21073,96505,24741,3181,1338,30454,28393,2261,16332,3939,611,1571,1005,287,85,133,762,180,284,556,341,46,1883,514,104,16,61,451,81,180,235,78,17,49,4,19,13,13,2,28,7,0,11,154,41,0,13,3,2,1,47,15,2,19,11,0,0,0,0,23,21,1,0,0,1,0,1,1
uPL,AZ,West,Mountain,0,1,1,5130632,4984106,3873611,158873,255879,92236,6733,596774,146526,138655,13732,23009,15624,2044,62927,2889,1346,200,4537,809,249,5430,1556,3537,766,7254,1937,397,48,810,472,90,967,966,785,154,82,10,136,63,91,21,43,57,20,105,484,129,9,86,29,22,3,70,25,5,72,11,3,2,15,3,128,94,5,9,3,15,2,5,5,5130632,1295617,3835015,3758643,3274258,149941,233370,89315,5639,6120,76372,71188,11987,18572,13965,1761,13590,2485,1225,186,1513,536,204,1846,1405,1713,200,4755,1496,333,42,421,332,74,374,846,415,57,61,9,72,51,62,7,29,20,9,45,335,110,7,43,20,10,3,53,17,3,39,10,3,2,12,3,94,65,5,9,1,14,0,0,0
uPL,AR,South,West_South_Central,0,1,1,2673400,2637656,2138598,418950,17808,20220,1668,40412,35744,33818,4773,16439,3061,351,5608,1088,406,89,600,146,59,262,275,484,177,1644,577,48,15,219,125,14,205,157,80,21,24,3,21,53,34,23,6,7,0,12,159,47,4,14,13,3,0,14,8,1,17,7,1,0,30,0,113,95,3,0,1,13,1,10,10,2673400,86866,2586534,2556170,2100135,416615,16702,19892,1494,1332,30364,28722,4638,15891,2976,325,2015,1064,369,80,314,128,50,129,269,359,115,1419,526,47,15,195,112,13,143,152,55,15,22,3,19,49,20,18,3,4,0,8,126,33,4,11,13,3,0,14,4,0,15,4,0,0,25,0,94,78,2,0,1,12,1,3,3
uPL,CA,West,Pacific,0,1,1,33871648,32264002,20170059,2263882,333346,3697513,116961,5682241,1607646,1513166,101705,175273,247396,26920,684475,25204,25203,4257,47923,14560,1837,29004,36050,82728,10631,85600,19388,5365,781,6677,7205,1345,8560,12889,12447,1973,1432,246,1310,988,1647,340,667,810,153,1377,7317,2758,247,1016,447,363,68,914,421,95,650,112,96,17,76,37,1436,1073,183,29,54,70,27,127,127,33871648,10966556,22905092,22001977,15816790,2181926,178984,3648860,103736,71681,903115,839139,86953,133670,222945,23051,197035,22457,23246,3886,18449,10450,1234,3693,34063,53736,4271,58011,15769,4454,675,3572,4890,978,3265,11082,6722,887,1135,166,888,826,1028,196,460,164,42,812,4958,2267,173,548,349,206,34,623,168,42,347,75,52,10,53,11,937,751,112,6,24,33,11,70,70
uPL,CO,West,Mountain,0,1,1,4301261,4179074,3560005,165063,44241,95213,4621,309931,122187,114612,13426,24795,16234,1735,42383,2486,1518,291,3876,637,107,2946,1234,2534,410,6946,2003,508,55,645,514,120,985,974,563,93,93,17,106,40,78,15,44,38,19,36,464,154,19,76,27,25,11,78,26,1,19,17,3,1,1,6,160,146,3,0,8,2,1,5,5,4301261,735601,3565660,3492939,3202880,158443,28982,93277,3845,5512,72721,67414,12016,19453,15035,1546,10089,2118,1421,255,1542,440,81,543,1138,1646,91,4863,1626,458,47,408,365,78,352,853,308,52,85,11,49,33,59,7,34,9,11,18,304,128,19,33,22,12,5,56,10,1,11,3,1,0,1,2,136,124,3,0,7,2,0,4,4
uPL,CT,Northeast,New_England,0,1,1,3405565,3330717,2780355,309843,9639,82313,1366,147201,74848,70473,11725,7652,7343,538,24391,3439,945,665,9008,365,41,668,465,2738,490,4015,1765,191,32,802,153,19,224,152,232,66,55,15,129,27,87,33,5,14,3,11,292,109,12,65,10,20,8,22,7,1,13,16,5,2,2,0,66,54,6,0,5,0,1,2,2,3405565,320323,3085242,3032346,2638845,295571,7267,81564,958,8141,52896,49634,9791,7118,7093,479,11272,3150,865,641,5988,312,16,129,461,2246,73,3002,1402,159,28,529,134,17,128,142,155,17,50,15,91,23,75,18,4,7,0,8,210,84,8,36,8,16,1,22,2,1,12,12,5,1,2,0,48,43,3,0,1,0,1,2,2
uPL,DE,South,South_Atlantic,0,1,1,783600,770567,584773,150666,2731,16259,283,15855,13033,12131,3145,1605,1645,78,2372,890,338,82,1282,72,5,176,75,325,41,817,387,47,2,153,23,3,49,34,29,5,8,5,38,10,14,5,0,1,3,1,61,21,1,20,0,4,0,1,0,0,4,4,1,1,4,0,16,16,0,0,0,0,0,8,8,783600,37277,746323,736101,567973,148435,2324,16110,234,1025,10222,9505,2937,1507,1608,72,919,814,322,75,775,66,4,31,75,285,15,658,341,39,1,114,18,3,18,34,22,3,7,5,30,8,10,4,0,0,0,1,43,20,0,9,0,1,0,1,0,0,4,4,0,0,4,0,16,16,0,0,0,0,0,0,0
uPL,DC,South,South_Atlantic,0,1,1,572059,558613,176101,343312,1713,15189,348,21950,13446,12179,1679,603,1319,75,3413,1389,554,108,2312,48,4,133,98,401,43,1146,645,59,10,139,25,1,39,29,50,5,27,3,44,14,34,15,0,4,1,2,109,61,2,15,5,11,1,3,1,0,6,0,2,0,2,0,10,8,2,0,0,0,0,2,2,572059,44953,527106,517522,159178,340088,1274,15039,273,1670,9584,8583,1449,462,1278,59,1209,1356,510,105,1682,36,2,29,94,297,15,914,579,49,10,66,21,1,15,25,34,2,25,2,35,10,26,11,0,0,1,2,79,42,2,10,3,11,0,1,0,0,6,0,2,0,2,0,8,6,2,0,0,0,0,0,0
uPL,FL,South,South_Atlantic,0,1,1,15982378,15606063,12465029,2335505,53541,266256,8625,477107,376315,359000,38429,43940,37068,3389,131473,7182,8427,4852,65492,1577,222,3733,2234,9531,1451,15729,3718,1576,166,3080,776,114,1111,1064,1603,321,239,46,289,349,777,220,55,96,44,85,1209,421,25,208,71,112,43,84,38,6,59,34,15,3,85,5,361,290,31,1,19,11,9,16,16,15982378,2682715,13299663,13062709,10458509,2264268,42358,261693,6887,28994,236954,224720,30404,40367,34214,2773,33005,6586,7977,4554,52779,1304,157,743,2131,7255,471,11089,2799,1327,130,1873,644,98,518,982,992,85,202,43,178,317,651,117,39,22,19,53,863,359,17,103,65,79,19,63,16,4,37,19,9,1,70,2,275,230,23,1,7,6,8,7,7
uPL,GA,South,South_Atlantic,0,1,1,8186453,8072265,5327281,2349542,21737,173170,4246,196289,114188,106506,18367,19232,13643,1030,26324,5567,3591,941,9776,937,69,1342,1000,4115,572,6608,2316,473,57,1019,334,54,442,523,386,54,127,33,174,270,181,68,33,32,2,30,706,224,10,79,36,30,6,53,5,6,63,23,11,3,153,4,341,236,18,3,20,20,44,27,27,8186453,435227,7751226,7663862,5128661,2331465,17670,171513,3278,11275,87364,80963,17161,18255,13156,936,9754,5289,3386,872,6468,809,59,352,946,3380,140,5556,2097,431,51,774,300,51,264,491,296,34,116,24,154,239,141,33,26,14,0,20,560,193,9,51,23,16,3,41,4,4,52,20,10,2,128,4,267,201,11,3,16,14,22,18,18
uPL,HI,West,Pacific,0,1,1,1211537,952194,294102,22003,3535,503868,113539,15147,259343,175252,2289,5953,55028,31485,7728,645,1936,1330,532,1473,1259,225,57647,5671,2051,71969,795,452,353,146,2501,1164,259,55189,3628,3202,216,82,35,717,75,62,1248,74,61,1710,11356,313,121,38,524,27,50,3767,138,104,6047,117,10,6,41,53,736,283,28,4,76,338,7,30,30,1211537,87699,1123838,905138,277091,20829,2539,494149,108441,2089,218700,151840,2051,4959,49489,28432,4520,567,1793,1202,203,1005,1045,61,52034,3285,1194,58649,663,360,275,78,1739,895,129,47080,2446,2489,164,60,20,598,45,23,820,13,38,714,7778,251,93,23,396,14,30,2429,67,56,4283,90,6,0,24,16,413,182,11,3,39,175,3,20,20
