Race,y2000,y2010,y2020
HispanicorLatin,39068564,54166049,65329087
NotHispanicorLatin,246161952,258305278,269406068
Populationofonerace7,241557160,252337434,255854745
Whitealone7,194586740,196844498,191722195
BlackorAfricanAmericanalone7,33952901,37690511,39944624
AmericanIndianandAlaskaNativealone7,2069446,2247427,2252011
Asianalone7,10126044,14468054,19621465
NativeHawaiianandOtherPacificIslanderalone7,353874,481653,622109
SomeOtherRacealone8,468155,605291,1692341
Populationoftwoormoreraces8,4604792,5967844,13551323
Populationoftworaces8,4259599,5466955,12639362
WhiteBlackorAfricanAmerican8,697711,1588789,2782262
WhiteAmericanIndianandAlaskaNative8,969320,1205993,3540131
WhiteAsian8,811717,1488170,2522121
WhiteNativeHawaiianandOtherPacificIslander8,100738,147843,198669
WhiteSomeOtherRace8,732484,139888,2285501
BlackorAfricanAmericanAmericanIndianandAlaskaNative8,168060,237882,344322
BlackorAfricanAmericanAsian8,99554,170166,224218
BlackorAfricanAmericanNativeHawaiianandOtherPacificIslander9,27494,45410,40792
BlackorAfricanAmericanSomeOtherRace9,256143,86966,354596
AmericanIndianandAlaskaNativeAsian9,43136,46595,37792
AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander9,5457,7549,8068
AmericanIndianandAlaskaNativeSomeOtherRace9,21511,9160,14776
AsianNativeHawaiianandOtherPacificIslander9,129143,149583,197927
AsianSomeOtherRace9,185837,130887,76488
NativeHawaiianandOtherPacificIslanderSomeOtherRace9,11294,12074,11699
Populationofthreeraces9,311164,460991,830292
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNative9,94198,180874,303498
WhiteBlackorAfricanAmericanAsian10,18237,51350,104204
WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslander10,2529,7834,14294
WhiteBlackorAfricanAmericanSomeOtherRace10,27706,13096,65771
WhiteAmericanIndianandAlaskaNativeAsian10,18418,33600,72239
WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander10,3884,6483,12097
WhiteAmericanIndianandAlaskaNativeSomeOtherRace10,13801,5082,17742
WhiteAsianNativeHawaiianandOtherPacificIslander10,77624,120336,175684
WhiteAsianSomeOtherRace10,21990,10281,19479
WhiteNativeHawaiianandOtherPacificIslanderSomeOtherRac,4744,1566,2226
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian10,4850,7567,9824
BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander11,755,1692,2438
BlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace11,4651,3229,7496
BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander11,4504,5988,9342
BlackorAfricanAmericanAsianSomeOtherRace11,6218,4455,7182
BlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace11,1289,2198,1367
AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander11,2132,2236,2373
AmericanIndianandAlaskaNativeAsianSomeOtherRace11,958,765,773
AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace11,200,265,180
AsianNativeHawaiianandOtherPacificIslanderSomeOtherRace11,2476,2094,2083
Populationoffourraces11,27160,34559,71556
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian12,8913,14301,24063
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander12,740,1964,3933
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace12,2577,3385,13878
WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander12,1635,3509,7244
WhiteBlackorAfricanAmericanAsianSomeOtherRace12,848,944,4629
WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace12,157,192,588
WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander12,4412,7461,11704
WhiteAmericanIndianandAlaskaNativeAsianSomeOtherRace12,491,317,1024
WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace12,160,105,194
WhiteAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace12,5493,1055,1617
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander13,531,664,1046
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace13,224,225,621
BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace13,45,93,178
BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace13,854,298,687
AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace13,80,46,150
Populationoffiveraces13,6359,5014,9109
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander13,5094,4215,5248
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace13,483,448,2604
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace13,32,68,350
WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace13,227,112,433
WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace14,380,127,246
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace14,143,44,228
Populationofsixraces14,510,325,1004
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace14,510,325,1004
