Race,y2000,y2010,y2020
HispanicorLatin,3.9068564E7,5.4166049E7,6.5329087E7
NotHispanicorLatin,2.46161952E8,2.58305278E8,2.69406068E8
Populationofonerace7,2.4155716E8,2.52337434E8,2.55854745E8
Whitealone7,1.9458674E8,1.96844498E8,1.91722195E8
BlackorAfricanAmericanalone7,3.3952901E7,3.7690511E7,3.9944624E7
AmericanIndianandAlaskaNativealone7,2069446.0,2247427.0,2252011.0
Asianalone7,1.0126044E7,1.4468054E7,1.9621465E7
NativeHawaiianandOtherPacificIslanderalone7,353874.0,481653.0,622109.0
SomeOtherRacealone8,468155.0,605291.0,1692341.0
Populationoftwoormoreraces8,4604792.0,5967844.0,1.3551323E7
Populationoftworaces8,4259599.0,5466955.0,1.2639362E7
WhiteBlackorAfricanAmerican8,697711.0,1588789.0,2782262.0
WhiteAmericanIndianandAlaskaNative8,969320.0,1205993.0,3540131.0
WhiteAsian8,811717.0,1488170.0,2522121.0
WhiteNativeHawaiianandOtherPacificIslander8,100738.0,147843.0,198669.0
WhiteSomeOtherRace8,732484.0,139888.0,2285501.0
BlackorAfricanAmericanAmericanIndianandAlaskaNative8,168060.0,237882.0,344322.0
BlackorAfricanAmericanAsian8,99554.0,170166.0,224218.0
BlackorAfricanAmericanNativeHawaiianandOtherPacificIslander9,27494.0,45410.0,40792.0
BlackorAfricanAmericanSomeOtherRace9,256143.0,86966.0,354596.0
AmericanIndianandAlaskaNativeAsian9,43136.0,46595.0,37792.0
AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander9,5457.0,7549.0,8068.0
AmericanIndianandAlaskaNativeSomeOtherRace9,21511.0,9160.0,14776.0
AsianNativeHawaiianandOtherPacificIslander9,129143.0,149583.0,197927.0
AsianSomeOtherRace9,185837.0,130887.0,76488.0
NativeHawaiianandOtherPacificIslanderSomeOtherRace9,11294.0,12074.0,11699.0
Populationofthreeraces9,311164.0,460991.0,830292.0
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNative9,94198.0,180874.0,303498.0
WhiteBlackorAfricanAmericanAsian10,18237.0,51350.0,104204.0
WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslander10,2529.0,7834.0,14294.0
WhiteBlackorAfricanAmericanSomeOtherRace10,27706.0,13096.0,65771.0
WhiteAmericanIndianandAlaskaNativeAsian10,18418.0,33600.0,72239.0
WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander10,3884.0,6483.0,12097.0
WhiteAmericanIndianandAlaskaNativeSomeOtherRace10,13801.0,5082.0,17742.0
WhiteAsianNativeHawaiianandOtherPacificIslander10,77624.0,120336.0,175684.0
