StateID,2000 Decade,2010 Decade,2020 Decade,2030 Decade,2040 Decade,2050 Decade
AK,626932,710231,733391,739260,740711,741067
AL,4447100,4779736,5024279,5200105,5324579,5411757
AR,2673400,2915918,3011524,3047212,3060263,3065000
AZ,5130632,6392017,7151502,7562162,7772024,7876261
CA,33871648,37253956,39538223,41026861,41975361,42571243
CO,4301261,5029196,5773714,6521387,7260100,7979478
CT,3405565,3574097,3605944,3611729,3612772,3612959
DC,572059,601723,689545,748288,785497,808295
DE,783600,897934,989948,1061192,1114827,1154398
FL,15982378,18801310,21538187,24125805,26518000,28688097
GA,8186453,9687653,10711908,11364892,11764328,12002721
HI,1211537,1360301,1455271,1513038,1547186,1567039
IA,2926324,3046355,3190369,3322391,3442738,3551899
ID,1293953,1567582,1839106,2100033,2344079,2567205
IL,12419293,12830632,12812508,12813279,12804602,12902182
IN,6080485,6483802,6785528,7007062,7167558,7282736
KS,2688418,2853118,2937880,2980205,3001025,3011191
KY,4041769,4339367,4505836,4595895,4643754,4668948
LA,4468976,4533372,4657757,4752147,4823275,4876595
MA,6349097,6547629,7029917,7370327,7604948,7764097
MD,5296486,5773552,6177224,6512477,6786836,7008775
ME,1274923,1328361,1362359,1383650,1396853,1404991
MI,9938444,9883640,10077331,10146774,10171360,10180025
MN,4919479,5303925,5706494,6127161,6565847,7022420
MO,5595211,5988927,6154913,6222102,6248854,6259435
MS,2844658,2967297,2961279,2961561,2958693,2987830
MT,902195,989415,1084225,1187205,1298972,1420183
NC,8049313,9535483,10439388,10947460,11221008,11364961
ND,642200,672591,779094,847541,888853,912890
NE,1711263,1826341,1961504,2086624,2201345,2305660
NH,1235786,1316470,1377529,1422916,1456220,1480431
NJ,8414350,8791894,9288994,9726316,10107603,10437533
NM,1819046,2059179,2117522,2130398,2133178,2133775
NV,1998257,2700551,3104614,3302371,3391923,3431081
NY,18976457,19378102,20201249,20813645,21263932,21592232
OH,11353140,11536504,11799448,12022602,12211268,12370272
OK,3450654,3751351,3959353,4099040,4191056,4250918
OR,3421399,3831074,4237256,4635041,5020324,5389829
PA,12281054,12702379,13002700,13214562,13362947,13466355
PR,3808610,3725789,3285874,1179293,-2925825,52374659
RI,1048319,1052567,1097379,1121909,1135076,1142070
SC,4012012,4625364,5118425,5498875,5783872,5992893
SD,754844,814180,886667,952578,1011700,1064126
TN,5689283,6346105,6910840,7384880,7775337,8092216
TX,20851820,25145561,29145505,32727004,35833710,38461473
UT,2233169,2763885,3271616,3736183,4146279,4498072
VA,7078515,8001024,8631393,9042496,9302858,9464787
VT,608827,625741,643077,660844,679051,697707
WA,5894121,6724540,7705281,8610861,9426375,10145784
WI,5363675,5686986,5893718,6022923,6102550,6151204
WV,1808344,1852994,1793716,1868061,1875594,1876329
WY,493782,563626,576851,579096,579469,579530
