STUSAB,pop2000,pop2010,pop2000_2010,pop2020,pop2010_2020
AK,626932.0,710231.0,13.3,733391.0,3.3
AL,4447100.0,4779736.0,7.5,5024279.0,5.1
AR,2673400.0,2915918.0,9.1,3011524.0,3.3
AZ,5130632.0,6392017.0,24.6,7151502.0,11.9
CA,33871648.0,37253956.0,10.0,39538223.0,6.1
CO,4301261.0,5029196.0,16.9,5773714.0,14.8
CT,3405565.0,3574097.0,4.9,3605944.0,0.9
DC,572059.0,601723.0,5.2,689545.0,14.6
DE,783600.0,897934.0,14.6,989948.0,10.2
FL,15982378.0,18801310.0,17.6,21538187.0,14.6
GA,8186453.0,9687653.0,18.3,10711908.0,10.6
HI,1211537.0,1360301.0,12.3,1455271.0,7.0
IA,2926324.0,3046355.0,4.1,3190369.0,4.7
ID,1293953.0,1567582.0,21.1,1839106.0,17.3
IL,12419293.0,12830632.0,3.3,12812508.0,-0.1
IN,6080485.0,6483802.0,6.6,6785528.0,4.7
KS,2688418.0,2853118.0,6.1,2937880.0,3.0
KY,4041769.0,4339367.0,7.4,4505836.0,3.8
LA,4468976.0,4533372.0,1.4,4657757.0,2.7
MA,6349097.0,6547629.0,3.1,7029917.0,7.4
MD,5296486.0,5773552.0,9.0,6177224.0,7.0
ME,1274923.0,1328361.0,4.2,1362359.0,2.6
MI,9938444.0,9883640.0,-0.6,10077331.0,2.0
MN,4919479.0,5303925.0,7.8,5706494.0,7.6
MO,5595211.0,5988927.0,7.0,6154913.0,2.8
MS,2844658.0,2967297.0,4.3,2961279.0,-0.2
MT,902195.0,989415.0,9.7,1084225.0,9.6
NC,8049313.0,9535483.0,18.5,10439388.0,9.5
ND,642200.0,672591.0,4.7,779094.0,15.8
NE,1711263.0,1826341.0,6.7,1961504.0,7.4
NH,1235786.0,1316470.0,6.5,1377529.0,4.6
NJ,8414350.0,8791894.0,4.5,9288994.0,5.7
NM,1819046.0,2059179.0,13.2,2117522.0,2.8
NV,1998257.0,2700551.0,35.1,3104614.0,15.0
NY,18976457.0,19378102.0,2.1,20201249.0,4.2
OH,11353140.0,11536504.0,1.6,11799448.0,2.3
OK,3450654.0,3751351.0,8.7,3959353.0,5.5
OR,3421399.0,3831074.0,12.0,4237256.0,10.6
PA,12281054.0,12702379.0,3.4,13002700.0,2.4
PR,3808610.0,3725789.0,-2.2,3285874.0,-11.8
RI,1048319.0,1052567.0,0.4,1097379.0,4.3
SC,4012012.0,4625364.0,15.3,5118425.0,10.7
SD,754844.0,814180.0,7.9,886667.0,8.9
TN,5689283.0,6346105.0,11.5,6910840.0,8.9
TX,20851820.0,25145561.0,20.6,29145505.0,15.9
UT,2233169.0,2763885.0,23.8,3271616.0,18.4
VA,7078515.0,8001024.0,13.0,8631393.0,7.9
VT,608827.0,625741.0,2.8,643077.0,2.8
WA,5894121.0,6724540.0,14.1,7705281.0,14.6
WI,5363675.0,5686986.0,6.0,5893718.0,3.6
WV,1808344.0,1852994.0,2.5,1793716.0,-3.2
WY,493782.0,563626.0,14.1,576851.0,2.3
