STUSAB,pop2000,pop2010,pop2020Pred,pop2020
AL,4447100.0,4779736.0,5137252.6,5024279.0
AK,626932.0,710231.0,804597.7,733391.0
AZ,5130632.0,6392017.0,7963518.2,7151502.0
AR,2673400.0,2915918.0,3180436.1,3011524.0
CA,33871648.0,37253956.0,40974009.8,39538223.0
CO,4301261.0,5029196.0,5880325.0,5773714.0
CT,3405565.0,3574097.0,3750969.2,3605944.0
DE,783600.0,897934.0,1028950.3,989948.0
DC,572059.0,601723.0,632925.2,689545.0
FL,15982378.0,18801310.0,22117438.2,21538187.0
GA,8186453.0,9687653.0,11464137.2,10711908.0
HI,1211537.0,1360301.0,1527331.7,1455271.0
ID,1293953.0,1567582.0,1899074.6,1839106.0
IL,12419293.0,12830632.0,13255594.9,12812508.0
IN,6080485.0,6483802.0,6913870.9,6785528.0
IA,2926324.0,3046355.0,3171309.4,3190369.0
KS,2688418.0,2853118.0,3027908.0,2937880.0
KY,4041769.0,4339367.0,4658877.3,4505836.0
LA,4468976.0,4533372.0,4598695.9,4657757.0
ME,1274923.0,1328361.0,1384038.8,1362359.0
MD,5296486.0,5773552.0,6293588.4,6177224.0
MA,6349097.0,6547629.0,6752369.0,7029917.0
MI,9938444.0,9883640.0,9829138.2,10077331.0
MN,4919479.0,5303925.0,5718414.6,5706494.0
MS,2844658.0,2967297.0,3095223.2,2961279.0
MO,5595211.0,5988927.0,6410347.5,6154913.0
MT,902195.0,989415.0,1085067.0,1084225.0
NE,1711263.0,1826341.0,1949157.7,1961504.0
NV,1998257.0,2700551.0,3649668.5,3104614.0
NH,1235786.0,1316470.0,1402421.8,1377529.0
NJ,8414350.0,8791894.0,9186378.0,9288994.0
NM,1819046.0,2059179.0,2331012.1,2117522.0
NY,18976457.0,19378102.0,19788248.0,20201249.0
NC,8049313.0,9535483.0,11296049.2,10439388.0
ND,642200.0,672591.0,704420.2,779094.0
OH,11353140.0,11536504.0,11722829.5,11799448.0
OK,3450654.0,3751351.0,4078251.3,3959353.0
OR,3421399.0,3831074.0,4289803.1,4237256.0
PA,12281054.0,12702379.0,13138158.4,13002700.0
PR,3808610.0,3725789.0,3644769.0,3285874.0
RI,1048319.0,1052567.0,1056832.2,1097379.0
SC,4012012.0,4625364.0,5332484.6,5118425.0
SD,754844.0,814180.0,878180.2,886667.0
TN,5689283.0,6346105.0,7078756.4,6910840.0
TX,20851820.0,25145561.0,30323455.6,29145505.0
UT,2233169.0,2763885.0,3420726.5,3271616.0
VT,608827.0,625741.0,643124.9,643077.0
VA,7078515.0,8001024.0,9043759.2,8631393.0
WA,5894121.0,6724540.0,7671956.2,7705281.0
WV,1808344.0,1852994.0,1898746.5,1793716.0
WI,5363675.0,5686986.0,6029785.5,5893718.0
WY,493782.0,563626.0,643349.2,576851.0
