STUSAB,pop2000,change10,change20
AK,626932.0,83299.0,23160.0
AL,4447100.0,332636.0,244543.0
AR,2673400.0,242518.0,95606.0
AZ,5130632.0,1261385.0,759485.0
CA,33871648.0,3382308.0,2284267.0
CO,4301261.0,727935.0,744518.0
CT,3405565.0,168532.0,31847.0
DC,572059.0,29664.0,87822.0
DE,783600.0,114334.0,92014.0
FL,15982378.0,2818932.0,2736877.0
GA,8186453.0,1501200.0,1024255.0
HI,1211537.0,148764.0,94970.0
IA,2926324.0,120031.0,144014.0
ID,1293953.0,273629.0,271524.0
IL,12419293.0,411339.0,-18124.0
IN,6080485.0,403317.0,301726.0
KS,2688418.0,164700.0,84762.0
KY,4041769.0,297598.0,166469.0
LA,4468976.0,64396.0,124385.0
MA,6349097.0,198532.0,482288.0
MD,5296486.0,477066.0,403672.0
ME,1274923.0,53438.0,33998.0
MI,9938444.0,-54804.0,193691.0
MN,4919479.0,384446.0,402569.0
MO,5595211.0,393716.0,165986.0
MS,2844658.0,122639.0,-6018.0
MT,902195.0,87220.0,94810.0
NC,8049313.0,1486170.0,903905.0
ND,642200.0,30391.0,106503.0
NE,1711263.0,115078.0,135163.0
NH,1235786.0,80684.0,61059.0
NJ,8414350.0,377544.0,497100.0
NM,1819046.0,240133.0,58343.0
NV,1998257.0,702294.0,404063.0
NY,18976457.0,401645.0,823147.0
OH,11353140.0,183364.0,262944.0
OK,3450654.0,300697.0,208002.0
OR,3421399.0,409675.0,406182.0
PA,12281054.0,421325.0,300321.0
PR,3808610.0,-82821.0,-439915.0
RI,1048319.0,4248.0,44812.0
SC,4012012.0,613352.0,493061.0
SD,754844.0,59336.0,72487.0
TN,5689283.0,656822.0,564735.0
TX,20851820.0,4293741.0,3999944.0
UT,2233169.0,530716.0,507731.0
VA,7078515.0,922509.0,630369.0
VT,608827.0,16914.0,17336.0
WA,5894121.0,830419.0,980741.0
WI,5363675.0,323311.0,206732.0
WV,1808344.0,44650.0,-59278.0
WY,493782.0,69844.0,13225.0
