Label,total,    Population of one race:,        White alone,        Black or African American alone,        American Indian and Alaska Native alone,        Asian alone,        Native Hawaiian and Other Pacific Islander alone,        Some Other Race alone,    Two or More Races:,        Population of two races:,            White; Black or African American,            White; American Indian and Alaska Native,            White; Asian,            White; Native Hawaiian and Other Pacific Islander,            White; Some Other Race,            Black or African American; American Indian and Alaska Native,            Black or African American; Asian,            Black or African American; Native Hawaiian and Other Pacific Islander,            Black or African American; Some Other Race,            American Indian and Alaska Native; Asian,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander,            Asian; Some Other Race,            Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of three races:,            White; Black or African American; American Indian and Alaska Native,            White; Black or African American; Asian,            White; Black or African American; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Some Other Race,            White; American Indian and Alaska Native; Asian,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander,            White; Asian; Some Other Race,            White; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; Asian; Some Other Race,            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            American Indian and Alaska Native; Asian; Some Other Race,            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of four races:,            White; Black or African American; American Indian and Alaska Native; Asian,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; Asian; Some Other Race,            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; American Indian and Alaska Native; Asian; Some Other Race,            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of five races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,        Population of six races:,            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Alabama,4779736,4708485,3275394,1251311,28218,53595,3057,96910,71251,67039,19666,21953,8835,864,6524,3353,1632,431,1591,273,82,398,349,738,350,3868,1850,348,64,281,322,38,158,294,126,38,84,22,45,83,43,22,10,15,12,13,274,104,24,35,24,8,6,36,6,1,9,6,2,2,11,0,67,61,4,0,1,0,1,3,3
Alaska,710231,658356,473576,23263,104871,38135,7409,11102,51875,47286,4685,26127,6915,1095,2211,1777,530,213,409,1200,431,429,782,368,114,4181,1415,252,85,68,1103,177,233,529,67,13,50,17,47,30,5,3,60,14,3,10,361,153,21,33,24,13,1,79,14,1,12,5,4,0,0,1,47,39,8,0,0,0,0,0,0
Arizona,6392017,6173717,4667121,259008,296529,176695,12648,761716,218300,203062,35442,34584,35647,4173,61934,5891,2986,602,5921,1435,580,5979,2187,4534,1167,13948,4194,1408,229,1189,1098,203,1173,2048,1054,213,184,34,212,143,168,42,79,116,58,103,1091,366,48,187,108,56,14,153,45,12,65,22,7,2,5,1,187,141,32,5,5,2,2,12,12
Arkansas,2915918,2858908,2245229,449895,22248,36102,5863,99571,57010,54253,13519,21060,5968,657,7659,1610,668,179,970,194,90,449,332,666,232,2527,1143,162,37,185,256,46,199,196,97,32,40,8,31,36,24,6,8,10,3,8,163,49,9,45,9,9,0,24,3,0,5,4,0,0,6,0,51,34,8,0,8,1,0,16,16
California,37253956,35438572,21453934,2299072,362801,4861007,144386,6317372,1815384,1673501,180920,208833,446563,39258,494321,31146,41249,7548,49487,15072,2321,29519,39339,72836,15089,128122,31949,13623,2158,8281,13195,2109,8873,20149,13637,2443,2129,427,1532,1545,1653,481,739,1105,361,1733,12080,4341,616,1785,1060,648,128,1567,546,124,647,227,166,31,118,76,1558,1135,216,59,46,87,15,123,123
Colorado,5029196,4856740,4089202,201737,56010,139028,6623,364140,172456,158973,28904,34995,32789,2859,38859,3780,2693,445,4053,840,171,3809,1496,2540,740,12175,4061,1421,164,864,1042,177,1317,1465,712,136,176,35,154,136,70,25,64,65,28,63,1097,388,72,223,100,60,6,129,40,8,28,20,7,6,3,7,200,173,17,4,3,2,1,11,11
Connecticut,3574097,3481421,2772410,362296,11256,135565,1428,198466,92676,85501,24786,9419,14451,809,17778,4161,1666,814,6075,426,66,1012,408,2610,1020,6673,3428,498,81,845,284,21,261,235,305,101,106,22,150,40,85,92,15,27,51,26,419,151,18,129,28,17,9,28,8,1,9,5,14,1,1,0,76,53,15,3,3,1,1,7,7
Delaware,897934,874080,618617,191814,4181,28549,400,30519,23854,22087,8736,2402,3183,202,2629,1750,693,171,1208,123,17,211,110,531,121,1653,944,221,39,121,40,14,33,53,38,13,36,6,31,19,22,5,3,3,9,3,107,43,10,29,5,7,0,4,1,0,1,1,0,1,4,1,7,3,3,0,1,0,0,0,0
District of Columbia,601723,584407,231471,305125,2079,21056,302,24374,17316,15273,3476,904,3736,121,2068,1787,900,226,1047,57,10,145,143,333,320,1847,1150,198,22,81,47,2,59,61,54,13,59,9,28,17,30,8,1,2,1,5,154,91,4,32,5,7,0,3,2,1,1,3,2,1,2,0,41,37,3,0,0,0,1,1,1
Florida,18801310,18328733,14109162,2999862,71458,454821,12286,681144,472577,440616,112370,55974,70932,5036,106667,12273,16040,9613,26547,2063,395,4209,2927,11758,3812,29331,9817,5085,482,3225,1600,226,1108,1728,1761,754,470,164,390,478,929,615,78,181,79,161,2181,855,105,375,193,184,52,162,47,13,79,43,23,6,40,4,401,294,66,8,5,22,6,48,48
Georgia,9687653,9480164,5787440,2950435,32151,314467,6799,388872,207489,191569,59398,27198,29613,1962,31576,11145,7918,1979,10248,1211,157,1802,1157,5114,1091,14369,7015,1913,235,1106,674,78,464,779,489,142,329,90,266,250,232,130,28,55,40,54,1272,575,63,244,65,65,13,81,13,5,36,32,19,8,46,7,256,218,29,4,5,0,0,23,23
Hawaii,1360301,1039672,336599,21424,4164,525078,135422,16985,320629,206989,3883,7932,66456,37904,3394,834,2694,1809,386,1343,1233,215,72607,4500,1799,101559,1328,931,733,114,3566,1742,197,85723,1353,711,225,110,22,1218,65,32,1623,106,52,1708,11167,444,196,37,1336,50,10,6762,137,63,1813,185,7,3,33,91,883,598,16,0,61,203,5,31,31
Idaho,1567582,1528647,1396487,9810,21441,19069,2317,79523,38935,36573,4369,12488,8222,1343,7666,313,171,30,240,230,68,476,364,391,202,2198,572,119,22,117,292,66,239,493,136,44,10,2,10,11,10,1,15,16,4,19,125,34,12,15,9,9,2,19,5,4,1,7,6,1,0,1,38,35,2,0,0,1,0,1,1
Illinois,12830632,12540650,9177877,1866414,43963,586934,4050,861412,289982,272768,70615,32749,56258,2682,66820,8057,4935,898,10103,2009,109,3435,1994,10524,1580,15841,7550,1604,128,1655,849,86,816,912,905,223,254,38,227,176,167,74,44,39,34,60,1145,497,36,277,72,54,7,67,45,12,29,8,19,7,15,0,202,164,23,4,4,2,5,26,26
Indiana,6483802,6355901,5467906,591397,18462,102474,2348,173314,127901,120347,48734,22076,17502,1514,18449,3034,1603,375,3268,380,62,648,596,1722,384,6889,3578,708,129,686,342,88,283,440,224,59,108,17,54,50,49,26,15,18,0,15,537,234,32,119,49,17,4,44,10,3,9,4,5,0,7,0,115,93,13,3,6,0,0,13,13
Iowa,3046355,2993022,2781561,89148,11084,53094,2003,56132,53333,50055,19063,9475,8663,860,7715,1048,519,77,873,243,50,417,218,670,164,3013,1545,283,38,284,165,30,151,211,127,23,23,5,27,19,41,7,5,19,0,10,207,74,15,40,26,6,2,21,8,4,6,2,1,0,1,1,56,45,9,2,0,0,0,2,2
Kansas,2853118,2767185,2391044,167864,28150,67762,2238,110127,85933,80110,24166,23163,11546,950,11954,2759,1011,226,1654,342,95,639,402,955,248,5418,2744,563,88,490,366,58,300,339,168,31,66,9,66,31,40,17,19,4,4,15,341,139,25,75,39,8,3,26,8,1,6,9,0,0,1,1,58,41,7,0,2,8,0,6,6
Kentucky,4339367,4264159,3809537,337520,10120,48930,2501,55551,75208,70782,30985,16172,9228,979,7248,1568,970,307,1451,205,66,283,340,766,214,4032,1945,468,102,381,296,44,162,270,120,28,59,25,29,36,24,8,10,7,9,9,334,140,24,72,14,5,3,33,5,2,14,10,3,2,2,5,58,50,6,0,1,0,1,2,2
Louisiana,4533372,4460489,2836192,1452396,30579,70132,1963,69227,72883,67175,19951,14868,8986,885,9819,4459,1817,459,3292,335,233,568,360,891,252,5010,2444,413,53,486,338,44,248,241,190,45,84,14,184,82,60,32,15,12,4,21,594,167,19,305,19,12,5,17,6,9,3,13,8,0,8,3,98,69,24,2,1,1,1,6,6
