FILEID,STUSAB,Region,Division,CHARITER,CIFSN,LOGRECNO,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
PLST,AL,South,East_South_Central,0,1,1,4779736,4708485,3275394,1251311,28218,53595,3057,96910,71251,67039,19666,21953,8835,864,6524,3353,1632,431,1591,273,82,398,349,738,350,3868,1850,348,64,281,322,38,158,294,126,38,84,22,45,83,43,22,10,15,12,13,274,104,24,35,24,8,6,36,6,1,9,6,2,2,11,0,67,61,4,0,1,0,1,3,3,4779736,185602,4594134,4533689,3204402,1244437,25907,52937,1976,4030,60445,57158,18848,21085,8508,791,971,3189,1537,374,636,220,47,73,328,518,33,3067,1648,314,60,121,285,29,56,266,55,11,72,16,32,55,24,8,8,1,0,6,185,86,20,19,9,4,2,25,3,1,8,3,2,1,2,0,33,31,2,0,0,0,0,2,2
PLST,AK,West,Pacific,0,1,1,710231,658356,473576,23263,104871,38135,7409,11102,51875,47286,4685,26127,6915,1095,2211,1777,530,213,409,1200,431,429,782,368,114,4181,1415,252,85,68,1103,177,233,529,67,13,50,17,47,30,5,3,60,14,3,10,361,153,21,33,24,13,1,79,14,1,12,5,4,0,0,1,47,39,8,0,0,0,0,0,0,710231,39249,670982,625614,455320,21949,102556,37459,7219,1111,45368,41711,4155,24741,6498,1028,284,1643,484,174,118,1119,395,115,730,193,34,3387,1219,217,75,18,975,164,61,448,26,6,48,17,20,25,1,2,56,3,1,5,234,117,16,11,13,2,0,65,2,0,1,5,2,0,0,0,36,36,0,0,0,0,0,0,0
PLST,AZ,West,Mountain,0,1,1,6392017,6173717,4667121,259008,296529,176695,12648,761716,218300,203062,35442,34584,35647,4173,61934,5891,2986,602,5921,1435,580,5979,2187,4534,1167,13948,4194,1408,229,1189,1098,203,1173,2048,1054,213,184,34,212,143,168,42,79,116,58,103,1091,366,48,187,108,56,14,153,45,12,65,22,7,2,5,1,187,141,32,5,5,2,2,12,12,6392017,1895149,4496868,4382237,3695647,239101,257426,170509,10959,8595,114631,106004,29556,24949,30838,3514,2998,4932,2615,518,790,966,455,448,1948,1363,114,7914,3027,1128,192,224,648,148,158,1714,170,22,151,26,44,117,52,16,46,7,3,21,586,251,36,70,73,16,5,89,6,1,23,9,3,2,2,0,122,104,13,3,1,0,1,5,5
PLST,AR,South,West_South_Central,0,1,1,2915918,2858908,2245229,449895,22248,36102,5863,99571,57010,54253,13519,21060,5968,657,7659,1610,668,179,970,194,90,449,332,666,232,2527,1143,162,37,185,256,46,199,196,97,32,40,8,31,36,24,6,8,10,3,8,163,49,9,45,9,9,0,24,3,0,5,4,0,0,6,0,51,34,8,0,8,1,0,16,16,2915918,186050,2729868,2684031,2173469,447102,20183,35647,5509,2121,45837,43791,13025,19970,5720,589,779,1533,616,153,321,171,76,68,320,355,95,1896,1007,148,35,62,218,36,63,176,20,7,35,8,27,28,12,3,3,2,0,6,113,37,4,34,8,1,0,17,2,0,3,2,0,0,5,0,34,23,4,0,6,1,0,3,3
PLST,CA,West,Pacific,0,1,1,37253956,35438572,21453934,2299072,362801,4861007,144386,6317372,1815384,1673501,180920,208833,446563,39258,494321,31146,41249,7548,49487,15072,2321,29519,39339,72836,15089,128122,31949,13623,2158,8281,13195,2109,8873,20149,13637,2443,2129,427,1532,1545,1653,481,739,1105,361,1733,12080,4341,616,1785,1060,648,128,1567,546,124,647,227,166,31,118,76,1558,1135,216,59,46,87,15,123,123,37253956,14013719,23240237,22271541,14956253,2163804,162250,4775070,128577,85587,968696,888442,146254,139561,392383,32041,22673,26015,36854,6555,8211,10230,1404,1244,35752,26004,3261,72824,23626,10789,1749,1695,8060,1350,935,16316,2462,292,1517,307,600,1251,455,170,404,112,33,701,6605,3118,444,674,757,177,28,947,86,27,108,138,47,11,33,10,784,638,86,15,18,22,5,41,41
PLST,CO,West,Mountain,0,1,1,5029196,4856740,4089202,201737,56010,139028,6623,364140,172456,158973,28904,34995,32789,2859,38859,3780,2693,445,4053,840,171,3809,1496,2540,740,12175,4061,1421,164,864,1042,177,1317,1465,712,136,176,35,154,136,70,25,64,65,28,63,1097,388,72,223,100,60,6,129,40,8,28,20,7,6,3,7,200,173,17,4,3,2,1,11,11,5029196,1038687,3990509,3889662,3520793,188778,31244,135564,5661,7622,100847,92956,24530,24126,29650,2462,2536,3041,2419,366,690,499,98,240,1315,915,69,7171,2925,1184,134,170,697,130,123,1230,164,18,151,27,24,112,24,5,29,4,1,19,604,282,52,60,74,28,4,75,0,1,6,17,2,1,2,0,112,108,1,1,2,0,0,4,4
PLST,CT,Northeast,New_England,0,1,1,3574097,3481421,2772410,362296,11256,135565,1428,198466,92676,85501,24786,9419,14451,809,17778,4161,1666,814,6075,426,66,1012,408,2610,1020,6673,3428,498,81,845,284,21,261,235,305,101,106,22,150,40,85,92,15,27,51,26,419,151,18,129,28,17,9,28,8,1,9,5,14,1,1,0,76,53,15,3,3,1,1,7,7,3574097,479087,3095010,3035505,2546262,335119,6885,134091,958,12190,59505,55054,19446,7983,13691,713,2949,3655,1517,735,1527,372,19,104,363,1792,188,4158,2446,406,64,226,243,8,49,198,158,20,93,19,55,35,49,55,8,8,3,15,238,106,16,39,21,5,6,24,3,0,6,3,9,0,0,0,49,41,4,2,2,0,0,6,6
PLST,DE,South,South_Atlantic,0,1,1,897934,874080,618617,191814,4181,28549,400,30519,23854,22087,8736,2402,3183,202,2629,1750,693,171,1208,123,17,211,110,531,121,1653,944,221,39,121,40,14,33,53,38,13,36,6,31,19,22,5,3,3,9,3,107,43,10,29,5,7,0,4,1,0,1,1,0,1,4,1,7,3,3,0,1,0,0,0,0,897934,73221,824713,806429,586752,186782,2824,28308,238,1525,18284,16944,7967,2155,3047,173,274,1598,632,155,257,109,9,31,105,424,8,1277,792,200,39,38,39,13,6,47,22,3,33,6,5,13,13,2,1,0,4,1,60,31,10,5,3,1,0,3,1,0,1,1,0,0,3,1,3,2,0,0,1,0,0,0,0
PLST,DC,South,South_Atlantic,0,1,1,601723,584407,231471,305125,2079,21056,302,24374,17316,15273,3476,904,3736,121,2068,1787,900,226,1047,57,10,145,143,333,320,1847,1150,198,22,81,47,2,59,61,54,13,59,9,28,17,30,8,1,2,1,5,154,91,4,32,5,7,0,3,2,1,1,3,2,1,2,0,41,37,3,0,0,0,1,1,1,601723,54749,546974,534324,209464,301053,1322,20818,216,1451,12650,11075,2985,642,3561,104,212,1687,840,216,405,44,4,15,135,221,4,1438,972,168,17,31,37,1,6,56,35,0,51,7,16,9,26,1,1,0,1,3,106,73,4,10,5,4,0,1,1,1,1,2,2,1,1,0,31,30,1,0,0,0,0,0,0
PLST,FL,South,South_Atlantic,0,1,1,18801310,18328733,14109162,2999862,71458,454821,12286,681144,472577,440616,112370,55974,70932,5036,106667,12273,16040,9613,26547,2063,395,4209,2927,11758,3812,29331,9817,5085,482,3225,1600,226,1108,1728,1761,754,470,164,390,478,929,615,78,181,79,161,2181,855,105,375,193,184,52,162,47,13,79,43,23,6,40,4,401,294,66,8,5,22,6,48,48,18801310,4223806,14577504,14286490,10884722,2851100,47265,445216,9725,48462,291014,271418,86905,48228,63225,4216,10836,10658,14893,9128,9288,1663,222,366,2733,7935,1122,18028,6413,4115,387,960,1240,160,207,1479,562,109,374,142,131,420,657,428,60,70,20,94,1309,608,68,120,148,90,21,124,19,10,24,28,10,4,34,1,240,182,28,6,1,18,5,19,19
