TAG,RECORD,SUMLEV,NAME,POPULATION,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
US,0000001,010,United States,331449281,331449281,297600338,204277273,41104200,3727135,19886049,689966,27915715,33848943,31890339,3070341,3968096,2691465,222433,19315952,392853,243711,45622,1036954,51011,11811,381361,219347,187918,51464,1737832,384010,121221,16985,270044,93952,15677,402197,206093,126314,14222,12538,3083,27485,11674,13615,3234,4008,4058,1205,6217,196582,33171,5499,88964,9580,12907,1619,17723,11793,1385,8846,1586,1374,361,1221,553,21685,8632,9141,1137,1021,1309,445,2505,2505,331449281,62080044,269369237,255820254,191697647,39940338,2251699,19618719,622018,1689833,13548983,12637189,2781839,3539935,2521775,198640,2284608,344276,224198,40790,354439,37784,8067,14766,197918,76457,11697,830158,303459,104194,14293,65741,72235,12094,17723,175677,19468,2224,9824,2438,7495,9342,7177,1365,2373,773,180,2083,71529,24056,3933,13875,7242,4627,587,11703,1020,194,1617,1046,618,177,684,150,9103,5247,2604,348,433,244,227,1004,1004
US,0000002,020,Northeast,57609148,57609148,52940664,37111396,6628896,292587,4177286,24136,4706363,4668484,4376995,505241,392524,393112,13143,2353437,72330,41424,6788,450223,9934,1134,62995,12303,45291,17116,249773,65488,16227,1530,78284,6765,865,36607,6893,15559,1426,2158,410,8832,977,4441,964,243,876,335,893,37943,4929,736,25352,622,2958,308,399,1009,129,555,173,335,55,259,124,3347,1211,1684,198,76,103,75,426,426,57609148,8794868,48814280,46696894,35752998,6207939,112024,4143379,15069,465485,2117386,1999460,433712,360423,378615,12015,498291,59306,37910,6039,156056,8765,594,4553,11439,28497,3245,106808,45470,13558,1261,18611,5667,680,2135,6335,3905,296,1624,308,2018,782,2783,367,168,396,56,388,9613,3518,493,2678,449,1222,122,273,146,26,227,114,163,22,118,42,1332,761,424,37,42,32,36,173,173
US,0000003,020,Midwest,68985454,68985454,64276073,51353019,7228615,559397,2405457,42741,2686844,4709381,4453530,744739,912159,408308,23331,2098880,67310,26592,4082,82819,5649,992,43188,15637,15599,4245,231264,82328,16775,2457,32583,12583,1729,51043,10916,11081,1252,1659,429,3161,1017,908,290,220,308,103,422,21417,5000,920,10327,771,1079,169,892,1043,114,462,185,172,59,140,84,2798,1298,1049,150,149,58,94,372,372,68985454,5978786,63006668,60242955,50082552,7111553,382776,2385691,38022,242361,2763713,2621455,698507,851072,393615,21791,500506,61045,25177,3709,35817,4670,681,1646,14839,7656,724,131413,70371,15157,2135,10466,10703,1423,3293,9992,2816,312,1415,347,1039,833,521,111,139,71,21,248,9292,3847,690,2240,619,427,71,684,154,15,186,127,99,36,71,26,1362,817,364,54,65,20,42,191,191
US,0000004,020,South,126266107,126266107,112400612,73886732,23582989,1145140,4818076,115582,8852093,13865495,13247383,1249624,1645459,735312,44834,8693693,182262,94748,17160,367336,11851,2530,115879,29225,45153,12317,547813,150413,43381,5008,101052,27867,3645,125758,22281,37200,3576,4275,1035,9977,3979,4550,1066,559,801,282,1108,62776,11568,1642,33387,2142,4684,486,2278,3229,362,1330,494,426,93,526,129,6764,2498,3224,373,281,214,174,759,759,126266107,23696746,102569361,97693658,68393435,23153574,722756,4757911,100255,565727,4875703,4585408,1152171,1517583,694500,40481,724246,166672,88432,15689,120561,9324,1725,4584,26749,20469,2222,264372,124163,38063,4333,23585,23146,3056,6974,19699,6169,675,3505,858,2928,3181,2479,520,383,146,36,473,22436,8801,1231,5422,1718,1675,185,1711,326,70,323,334,190,47,363,40,3131,1649,1060,117,134,65,106,356,356
US,0000005,020,West,78588572,78588572,67982989,41926126,3663700,1730011,8485230,507507,11670415,10605583,9812431,570737,1017954,1154733,141125,6169942,70951,80947,17592,136576,23577,7155,159299,162182,81875,17786,708982,85781,44838,7990,58125,46737,9438,188789,166003,62474,7968,4446,1209,5515,5701,3716,914,2986,2073,485,3794,74446,11674,2201,19898,6045,4186,656,14154,6512,780,6499,734,441,154,296,216,8776,3625,3184,416,515,934,102,948,948,78588572,23609644,54978928,51186747,37468662,3467272,1034143,8331738,468672,416260,3792181,3430866,497449,810857,1055045,124353,561565,57253,72679,15353,42005,15025,5067,3983,144891,19835,5506,327565,63455,37416,6564,13079,32719,6935,5321,139651,6578,941,3280,925,1510,4546,1394,367,1683,160,67,974,30188,7890,1519,3535,4456,1303,209,9035,394,83,881,471,166,72,132,42,3278,2020,756,140,192,127,43,284,284
US,0000006,030,New England,15116205,15116205,13893162,11105080,999785,60659,783568,5512,938558,1223043,1149081,122049,130489,109380,4153,616069,13874,6182,1321,121871,1276,263,9922,2200,6090,3942,64517,15187,3811,359,23464,2112,282,8631,2163,3497,467,397,96,2382,217,801,251,46,115,78,161,8625,976,152,5960,173,580,99,122,216,39,132,37,44,13,75,7,743,304,306,55,18,45,15,77,77,15116205,1794646,13321559,12665776,10784293,925797,30882,777455,3866,143483,655783,619101,106425,122477,106141,3881,192109,11341,5631,1157,61861,1076,130,1184,2016,3053,619,33415,11155,3328,289,10138,1856,223,948,2037,1077,123,307,61,889,170,540,130,29,47,10,58,2867,710,94,1251,129,321,57,76,36,17,74,24,33,6,37,2,351,203,101,20,9,12,6,49,49
US,0000007,030,Middle Atlantic,42492943,42492943,39047502,26006316,5629111,231928,3393718,18624,3767805,3445441,3227914,383192,262035,283732,8990,1737368,58456,35242,5467,328352,8658,871,53073,10103,39201,13174,185256,50301,12416,1171,54820,4653,583,27976,4730,12062,959,1761,314,6450,760,3640,713,197,761,257,732,29318,3953,584,19392,449,2378,209,277,793,90,423,136,291,42,184,117,2604,907,1378,143,58,58,60,349,349,42492943,7000222,35492721,34031118,24968705,5282142,81142,3365924,11203,322002,1461603,1380359,327287,237946,272474,8134,306182,47965,32279,4882,94195,7689,464,3369,9423,25444,2626,73393,34315,10230,972,8473,3811,457,1187,4298,2828,173,1317,247,1129,612,2243,237,139,349,46,330,6746,2808,399,1427,320,901,65,197,110,9,153,90,130,16,81,40,981,558,323,17,33,20,30,124,124
US,0000008,030,East North Central,47368533,47368533,44110602,34373229,5688400,274993,1731348,17922,2024710,3257931,3081511,519745,565815,274364,13678,1513528,46361,18596,2673,64908,3651,529,33637,9574,11280,3172,158958,55351,10920,1471,24098,7583,984,37135,6600,8084,780,1152,260,2340,664,670,204,107,216,78,261,15337,3489,621,7881,465,731,95,492,716,75,338,130,122,41,97,44,1882,897,717,106,81,23,58,243,243,47368533,4424621,42943912,41119085,33477559,5595258,144238,1717090,14708,170232,1824827,1730784,486322,526501,264358,12717,332514,41994,17564,2431,27300,3004,320,1045,9085,5268,361,86688,47206,9813,1290,7557,6445,798,2057,6032,2094,191,966,222,740,547,398,75,69,53,12,123,6311,2680,457,1610,378,253,51,355,113,7,164,88,62,26,50,17,914,553,241,43,36,11,30,130,130
US,0000009,030,West North Central,21616921,21616921,20165471,16979790,1540215,284404,674109,24819,662134,1451450,1372019,224994,346344,133944,9653,585352,20949,7996,1409,17911,1998,463,9551,6063,4319,1073,72306,26977,5855,986,8485,5000,745,13908,4316,2997,472,507,169,821,353,238,86,113,92,25,161,6080,1511,299,2446,306,348,74,400,327,39,124,55,50,18,43,40,916,401,332,44,68,35,36,129,129,21616921,1554165,20062756,19123870,16604993,1516295,238538,668601,23314,72129,938886,890671,212185,324571,129257,9074,167992,19051,7613,1278,8517,1666,361,601,5754,2388,363,44725,23165,5344,845,2909,4258,625,1236,3960,722,121,449,125,299,286,123,36,70,18,9,125,2981,1167,233,630,241,174,20,329,41,8,22,39,37,10,21,9,448,264,123,11,29,9,12,61,61
US,0000010,030,South Atlantic,66089734,66089734,59378510,38408781,13986217,383647,2683960,44985,3870920,6711224,6374503,719686,663497,438140,22877,3993186,106353,64297,10851,253115,6167,1134,47787,13726,26229,7458,293366,84033,28382,2868,62909,13423,1592,48898,11998,19935,1709,2707,664,6372,2418,3298,735,290,402,141,592,39005,7149,917,21717,1233,3237,313,1127,1502,184,677,256,253,54,311,75,3905,1432,1934,200,144,90,105,445,445,66089734,10147394,55942340,53343314,36365960,13714620,218141,2653826,37539,353228,2599026,2433677,663104,618111,417770,21102,427409,97214,60342,10020,82062,5047,747,2499,12579,14067,1604,149960,68344,25045,2495,13934,11439,1388,3009,10715,3989,359,2254,563,1603,1905,1935,375,208,92,23,285,13328,5509,706,2976,1006,1200,117,856,152,52,185,173,119,31,210,36,1833,977,615,55,77,34,75,228,228
