"STUB,C,150","ITEM,C,10","SEGMENT,C,10"
PL1.  RACE [71],,
 Universe: Total population,,
     Total,P0010001,P1
Population of one race,P0010002,P1
     White alone,P0010003,P1
     Black or African American alone,P0010004,P1
     American Indian and Alaska Native alone,P0010005,P1
     Asian alone,P0010006,P1
     Native Hawaiian and Other Pacific Islander alone,P0010007,P1
     Some other race alone,P0010008,P1
Population of two or more races,P0010009,P1
Population of two races,P0010010,P1
     White; Black or African American,P0010011,P1
     White; American Indian and Alaska Native,P0010012,P1
     White; Asian,P0010013,P1
     White; Native Hawaiian and Other Pacific Islander,P0010014,P1
     White; Some other race,P0010015,P1
     Black or African American; American Indian and Alaska Native,P0010016,P1
     Black or African American; Asian,P0010017,P1
     Black or African American; Native Hawaiian and Other Pacific Islander,P0010018,P1
     Black or African American; Some other race,P0010019,P1
     American Indian and Alaska Native; Asian,P0010020,P1
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010021,P1
     American Indian and Alaska Native; Some other race,P0010022,P1
     Asian; Native Hawaiian and Other Pacific Islander,P0010023,P1
     Asian; Some other race,P0010024,P1
     Native Hawaiian and Other Pacific Islander; Some other race,P0010025,P1
Population of three races,P0010026,P1
     White; Black or African American; American Indian and Alaska Native,P0010027,P1
     White; Black or African American; Asian,P0010028,P1
     White; Black or African American; Native Hawaiian and Other Pacific Islander,P0010029,P1
     White; Black or African American; Some other race,P0010030,P1
     White; American Indian and Alaska Native; Asian,P0010031,P1
     White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010032,P1
     White; American Indian and Alaska Native; Some other race,P0010033,P1
     White; Asian; Native Hawaiian and Other Pacific Islander,P0010034,P1
     White; Asian; Some other race,P0010035,P1
     White; Native Hawaiian and Other Pacific Islander; Some other race,P0010036,P1
     Black or African American; American Indian and Alaska Native; Asian,P0010037,P1
     Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010038,P1
     Black or African American; American Indian and Alaska Native; Some other race,P0010039,P1
     Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0010040,P1
     Black or African American; Asian; Some other race,P0010041,P1
     Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0010042,P1
     American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010043,P1
     American Indian and Alaska Native; Asian; Some other race,P0010044,P1
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0010045,P1
     Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010046,P1
Population of four races,P0010047,P1
    White; Black or African American; American Indian and Alaska Native; Asian,P0010048,P1
    White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0010049,P1
    White; Black or African American; American Indian and Alaska Native; Some other race,P0010050,P1
    White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,P0010051,P1
    White; Black or African American; Asian; Some other race,P0010052,P1
    White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,P0010053,P1
    White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010054,P1
    White; American Indian and Alaska Native; Asian; Some other race,P0010055,P1
    White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0010056,P1
    White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010057,P1
    Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010058,P1
    Black or African American; American Indian and Alaska Native; Asian; Some other race,P0010059,P1
    Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0010060,P1
    Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010061,P1
    American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010062,P1
Population of five races,P0010063,P1
    White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,P0010064,P1
    White; Black or African American; American Indian and Alaska Native; Asian; Some other race,P0010065,P1
    White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,P0010066,P1
    White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010067,P1
    White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010068,P1
    Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010069,P1
Population of six races,P0010070,P1
    White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,P0010071,P1
,,
"PL2.  HISPANIC OR LATINO, AND NOT HISPANIC OR LATINO BY RACE [73]",,
 Universe: Total population,,
    Total,P0020001,P1
Hispanic or Latino,P0020002,P1
Not Hispanic or Latino,P0020003,P1
Population of one race,P0020004,P1
     White alone,P0020005,P1
     Black or African American alone,P0020006,P1
     American Indian and Alaska Native alone,P0020007,P1
     Asian alone,P0020008,P1
     Native Hawaiian and Other Pacific Islander alone,P0020009,P1
     Some other race alone,P0020010,P1
Population of two or more races,P0020011,P1
Population of two races,P0020012,P1
     White; Black or African American,P0020013,P1
     White; American Indian and Alaska Native,P0020014,P1
     White; Asian,P0020015,P1
     White; Native Hawaiian and Other Pacific Islander,P0020016,P1
     White; Some other race,P0020017,P1
     Black or African American; American Indian and Alaska Native,P0020018,P1
     Black or African American; Asian,P0020019,P1
     Black or African American; Native Hawaiian and Other Pacific Islander,P0020020,P1
     Black or African American; Some other race,P0020021,P1
     American Indian and Alaska Native; Asian,P0020022,P1
     American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020023,P1
     American Indian and Alaska Native; Some other race,P0020024,P1
     Asian; Native Hawaiian and Other Pacific Islander,P0020025,P1
     Asian; Some other race,P0020026,P1
     Native Hawaiian and Other Pacific Islander; Some other race,P0020027,P1
Population of three races,P0020028,P1
     White; Black or African American; American Indian and Alaska Native,P0020029,P1
     White; Black or African American; Asian,P0020030,P1
     White; Black or African American; Native Hawaiian and Other Pacific Islander,P0020031,P1
     White; Black or African American; Some other race,P0020032,P1
     White; American Indian and Alaska Native; Asian,P0020033,P1
     White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,P0020034,P1
