Label,total,Hispanic or Latino,    Not Hispanic or Latino:,        Population of one race:,            White alone,            Black or African American alone,            American Indian and Alaska Native alone,            Asian alone,            Native Hawaiian and Other Pacific Islander alone,            Some Other Race alone,        Population of two or more races:,            Population of two races:,                White; Black or African American,                White; American Indian and Alaska Native,                White; Asian,                White; Native Hawaiian and Other Pacific Islander,                White; Some Other Race,                Black or African American; American Indian and Alaska Native,                Black or African American; Asian,                Black or African American; Native Hawaiian and Other Pacific Islander,                Black or African American; Some Other Race,                American Indian and Alaska Native; Asian,                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,                American Indian and Alaska Native; Some Other Race,                Asian; Native Hawaiian and Other Pacific Islander,                Asian; Some Other Race,                Native Hawaiian and Other Pacific Islander; Some Other Race,            Population of three races:,                White; Black or African American; American Indian and Alaska Native,                White; Black or African American; Asian,                White; Black or African American; Native Hawaiian and Other Pacific Islander,                White; Black or African American; Some Other Race,                White; American Indian and Alaska Native; Asian,                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,                White; American Indian and Alaska Native; Some Other Race,                White; Asian; Native Hawaiian and Other Pacific Islander,                White; Asian; Some Other Race,                White; Native Hawaiian and Other Pacific Islander; Some Other Race,                Black or African American; American Indian and Alaska Native; Asian,                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,                Black or African American; American Indian and Alaska Native; Some Other Race,                Black or African American; Asian; Native Hawaiian and Other Pacific Islander,                Black or African American; Asian; Some Other Race,                Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,                American Indian and Alaska Native; Asian; Some Other Race,                American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,                Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Population of four races:,                White; Black or African American; American Indian and Alaska Native; Asian,                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,                White; Black or African American; American Indian and Alaska Native; Some Other Race,                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,                White; Black or African American; Asian; Some Other Race,                White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,                White; American Indian and Alaska Native; Asian; Some Other Race,                White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,                White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,                Black or African American; American Indian and Alaska Native; Asian; Some Other Race,                Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,                Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,                American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Population of five races:,                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,                White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,                White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,                White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,                White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,                Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,            Population of six races:,                White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
Alabama,5024279,264047,4760232,4575614,3171351,1288159,23119,75918,2612,14455,184618,175750,43911,77291,17974,1366,22551,6012,1939,456,2983,201,46,164,520,303,33,8085,3986,899,165,573,821,138,295,643,122,33,115,13,72,129,43,20,10,4,0,4,673,232,45,200,66,27,3,32,25,0,3,21,0,2,13,4,108,51,44,9,0,2,2,2,2
Alaska,733391,49824,683567,611806,421758,20731,108838,43449,12455,4575,71761,65654,5318,36039,9310,1440,7296,1916,490,289,283,1127,558,245,1229,113,1,5518,1728,348,108,115,1627,314,181,762,41,7,61,31,21,53,4,4,85,5,8,15,505,167,24,37,40,6,7,177,17,1,15,1,2,0,0,11,78,36,20,4,4,12,2,6,6
Arizona,7151502,2192253,4959249,4692409,3816547,317161,263930,248837,14323,31611,266840,249130,51895,67557,56082,6096,47116,6515,3738,726,2875,995,476,384,3690,878,107,16207,5410,2611,429,1044,1577,309,414,3328,344,45,200,55,98,158,63,16,77,3,2,24,1319,484,74,222,170,71,10,187,13,5,29,24,13,5,12,0,175,97,62,8,4,0,4,9,9
Arkansas,3011524,256847,2754677,2607520,2063550,449884,20549,51210,14280,8047,147157,140548,27850,73015,11362,1192,20613,2981,798,197,1438,174,81,115,469,208,55,6135,3269,419,89,472,771,91,276,402,116,15,40,9,75,60,10,2,7,4,0,8,409,151,22,120,12,7,0,43,14,8,6,7,7,4,8,0,64,35,21,2,4,2,0,1,1
California,39538223,15579652,23958571,22330849,13714587,2119286,156085,5978795,138167,223929,1627722,1500424,220162,270349,563222,37904,223468,29533,46247,7531,28389,7321,1376,1867,45831,13281,3943,114216,29152,19646,2618,7243,13731,2114,2090,25764,3812,422,1806,415,985,2103,955,256,457,90,23,534,11705,4292,632,1946,1453,820,86,1535,206,31,329,161,102,35,62,15,1247,683,406,65,71,21,1,130,130
Colorado,5773714,1263390,4510324,4249526,3760663,221310,33768,195220,9005,29560,260798,244979,42311,71858,58609,4356,54422,3850,3264,506,2000,476,134,291,2155,674,73,14448,5013,2346,244,814,1608,227,457,2734,361,58,202,44,71,141,52,8,33,8,0,27,1197,412,95,181,150,62,20,187,21,7,37,10,3,5,2,5,156,116,24,12,3,1,0,18,18
Connecticut,3605944,623293,2982651,2845082,2279232,360937,6404,170459,974,27076,137569,129834,30832,22929,23135,778,38125,4054,1798,410,5592,308,40,187,586,921,139,7090,3160,927,63,1264,370,25,154,425,249,9,122,14,105,27,123,20,7,15,0,11,558,205,33,195,33,44,8,19,2,3,5,8,0,0,2,1,76,47,25,1,2,0,1,11,11
Delaware,989948,104290,885658,842635,579851,212960,2521,42398,304,4601,43023,40061,13511,8993,5319,289,6708,2453,870,141,1338,92,1,45,131,160,10,2742,1569,367,19,210,150,28,59,151,40,12,63,27,14,14,8,0,0,1,0,10,194,89,8,41,6,17,5,9,0,0,0,0,0,0,16,3,21,8,6,0,7,0,0,5,5
District of Columbia,689545,77652,611893,582408,261771,282066,1277,33192,349,3753,29485,26897,7099,1697,8414,196,3702,2189,1284,108,1751,62,18,41,168,165,3,2335,1115,350,20,329,70,1,30,134,61,4,54,34,49,32,32,15,2,0,0,3,230,102,5,68,11,34,1,1,0,0,3,4,1,0,0,0,23,13,1,0,4,4,1,0,0
Florida,21538187,5697240,15840947,15048804,11100503,3127052,42169,629626,11521,137933,792143,748754,174146,174875,113998,6677,196605,16122,19349,4015,29360,1487,229,850,3929,6152,960,39297,12773,8185,718,4855,3442,454,924,3284,1625,165,439,94,342,657,951,171,67,42,2,107,3582,1287,154,727,276,527,51,209,52,16,72,59,42,12,85,13,472,227,182,17,16,5,25,38,38
